Race Name,Distance,Street,Road,Paved,Asphalt,Path,Cycleway,Unpaved,State Road,Cobblestones,Unknown,Compacted Gravel,Off-grid (unknown),Singletrack,Access Road,Alpine,Net Gain,Lowest Elevation,Highest Elevation,Vertical Gain,Downhill
2023 Tour de Catamarca Internacional Stage 2,119.558,0.508,7.05,119,,,,,112,,,,,,,,-570,389,1220,600,1170
2023 Tour de Catamarca Internacional Stage 3,100.4,,30.6,99.3,1.05,,,,69.8,,,,,,,,1160,490,1700,1910,750
2023 Tour de Catamarca Internacional Stage 4,121.75,,109,20.6,101,,10.3,,2.45,,,,,,,,10,497,573,1060,1050
2023 Tour de DMZ Stage 1,94.83,3.65,70,8.14,79.5,,6.34,0.41,7.93,,7.23,,6.91,0.41,,,-20,,62,780,800
2023 Tour de DMZ Stage 2,108.702,8.51,26.7,,99.8,,,,73.2,,8.8,,0.292,,,,120,8,256,910,790
2023 Tour de DMZ Stage 3,141.783,,27.8,,141,,8.64,,105,,0.343,,0.343,,,,30,105,547,2100,2070
2023 Tour de DMZ Stage 4,74.55,12,8.75,10.7,63.9,,,,53.8,,,,,,,,-180,8,524,900,1080
2023 Tour de DMZ Stage 5,122.7,,45.3,,123,,,,77.4,,,,,,,,160,5,634.5794861,1830,1670
2023 Tour de Feminin Stage 1,12.5,,12.5,,12.5,,,,,,,,,,,,,363,523,210,210
2023 Tour de Feminin Stage 2,105.99,5.99,100,,106,,,,,,,,,,,,,205,538,1670,1670
2023 Tour de Feminin Stage 3,110.85,2.22,108,0.192,110,,,,,,0.63,,0.63,,,,-30,295,518,1330,1360
2023 Tour de Feminin Stage 4,114,,114,,114,,,,,,,,,,,,60,315,557,2020,1960
2023 Tour de France Femmes Stage 1,123.391,0.597,103,1.91,121,,13.5,,5.85,,0.444,,0.444,,,,60,263,648,1050,990
2023 Tour de France Femmes Stage 2,150.943,0.5,99.6,1.95,148,,,,50.1,,0.743,,0.389,,0.354,,190,371,1271,2640,2450
2023 Tour de France Femmes Stage 3,146.897,0.197,129,0.14,147,,,,17.7,,,,,,,,-220,73,457,1810,2030
2023 Tour de France Femmes Stage 4,177.42,,137,4.83,172,,1.02,,39.4,,,,,,,,430,98,718,2330,1900
2023 Tour de France Femmes Stage 5,126.38,3.41,90.8,4.07,122,,1.37,,30.8,,,,,,,,-420,145,799,1610,2030
2023 Tour de France Femmes Stage 6,122.8,0.796,118,3.42,119,,0.394,,3.61,,,,,,,,-10,89,301,1120,1130
2023 Tour de France Femmes Stage 7,90.968,0.182,74.8,0.452,90.2,,,,15.7,,0.374,,0.286,,,,1680,351,2116,2660,980
2023 Tour de France Femmes Stage 8,23.027,1.27,15.6,,22.4,,1.47,,4.1,,0.587,,0.587,,,,10,172,300,210,200
2023 Tour de France Stage 1,182.735,7.87,154,9.4,173,1.24,3.2,,15.8,,0.8,,0.625,,,,70,1,371,3360,3290
2023 Tour de France Stage 10,167.09,0.651,141,0.276,167,,1.32,,23.6,,0.519,,0.519,,,,-390,388,1448,3180,3570
2023 Tour de France Stage 11,178.795,0.228,115,1.95,177,,6.23,0.363,56.6,,0.737,,0.737,0.363,,,-110,179,720,1730,1840
2023 Tour de France Stage 12,168.957,0.427,164,1.54,168,,1.1,,3.43,,,,,,,,-100,173,825,3070,3170
2023 Tour de France Stage 13,137.53,,101,0.881,137,,1.23,,35.3,,,,,,,,1220,222,1496,2420,1200
2023 Tour de France Stage 14,151.91,,131,1.55,151,,0.71,,20.2,,,,,,,,510,470,1693,4440,3930
2023 Tour de France Stage 15,178.278,0.168,118,0.466,173,,6.9,0.722,47.6,,5.73,,5.61,0.722,,,740,445,1485,4640,3900
2023 Tour de France Stage 16,22.432,,16.5,0.586,21.9,,0.242,,5.69,,,,,,,,390,537,975,610,220
2023 Tour de France Stage 17,165.76,2.45,123,1.18,164,,4.42,,34.6,,1.5,,1.29,,,,1000,485,2299,5570,4570
2023 Tour de France Stage 18,185.089,0.152,53.1,0.683,182,0.127,20.3,,109,,2.42,,2.41,,,,-140,226,398.799933,1700,1840
2023 Tour de France Stage 19,173.351,0.673,143,,172,,0.602,,28.2,,0.953,,0.747,,0.129,,-300,237,739,2030,2330
2023 Tour de France Stage 2,209.646,13.1,184,9.24,198,,1.68,,10,,1.91,,0.866,,,,-490,2,697,3100,3590
2023 Tour de France Stage 20,133.302,4.36,98.8,27.1,106,0.609,0.233,0.558,29.3,,,,,,,,780,390,1276,3560,2780
2023 Tour de France Stage 21,114.99,,31.1,2.77,69.6,2.7,51.6,0.465,28,38.9,1.71,2.15,1.59,0.465,,,-90,29,175,820,910
2023 Tour de France Stage 3,194.053,12.7,58.8,10.9,181,0.143,6.58,,114,0.421,1.89,,1.83,,,,-70,,428,2950,3020
2023 Tour de France Stage 4,181.597,0.621,129,1.15,177,0.338,0.748,,48.6,,3.23,,2.29,,,,80,10,219,1290,1210
2023 Tour de France Stage 5,163.298,0.407,155,0.171,163,,0.781,,6.94,,0.17,0.209,0.17,0.209,,,310,164,1518,3670,3360
2023 Tour de France Stage 6,145.417,0.101,96.7,,145,0.127,,,48.3,,0.26,,0.189,,,,1010,232,2112,4050,3040
2023 Tour de France Stage 7,169.319,,134,4.54,164,0.139,3.93,,30.1,0.241,1.18,,1.15,,,,-40,,159,730,770
2023 Tour de France Stage 8,200.16,0.34,164,0.919,199,,1.06,,34,,0.76,,0.76,,,,230,5,494,1900,1670
2023 Tour de France Stage 9,182.54,2.76,118,0.614,178,,1.58,,56.7,,3.5,,3.5,,,,950,358,1412,3310,2360
2023 Tour de Gatineau,111.3,64.3,42.4,3.55,108,4.6,,,,,,,,,,,,60,79,450,450
2023 Tour de Gironde International Stage 1-1,9.86,,9.86,1.22,8.68,,,,,,,,,,,,,3,71,90,90
2023 Tour de Gironde International Stage 1-2,97.561,1.83,90.7,8.92,88.1,,4.44,0.316,0.419,,0.172,,0.172,,,,40,3,93,1010,970
2023 Tour de Gironde International Stage 2,105.47,3.23,96.2,9.69,95.8,,4.18,,1.86,,,,,,,,,9,79,550,550
2023 Tour de Hokkaido,173.92,5.43,89.1,10.6,155,,4.41,0.374,67.7,,7.91,0.179,7.28,,,,-60,6,62,240,300
2023 Tour de Hongrie Stage 1,167.583,0.323,94.9,2.88,157,1.89,9.79,1.39,53.8,,7.19,,6.88,0.404,,,10,184,317,960,950
2023 Tour de Hongrie Stage 2,174.895,0.839,115,0.215,174,0.423,0.819,,57.6,0.968,0.226,,,,0.214,,-10,103,336,990,1000
2023 Tour de Hongrie Stage 3,178.95,6.15,77.6,0.913,177,1.88,2.72,,90.6,1.46,,,,,,,220,124,528,2540,2320
2023 Tour de Hongrie Stage 4,205.9,,181,0.37,205,,3.9,,21,,,,,,,,570,104,689,2900,2330
2023 Tour de Hongrie,151.61,10.6,44.7,1.83,136,3.34,10.8,2.87,74.7,3.13,7.88,0.312,7.47,,,,-1290,211,1526,630,1920
2023 Tour de Kumano Stage 1,64.398,0.938,14.3,48.6,15.7,,,,49,,0.16,,0.16,,,,,17,316,1500,1500
2023 Tour de Kumano Stage 2,105.534,2.65,102,34,68.9,,,,0.884,,2.65,,,,,,,1,61,1900,1900
2023 Tour de Kyushu Stage 1,144.41,,45.2,0.561,142,,,,97.7,,1.51,,1.51,,,,-40,7,485,2050,2090
2023 Tour de Kyushu Stage 2,107.79,1.99,45.9,15.9,90,,,,59.9,,1.93,,,,,,-360,406,914,2380,2740
2023 Tour de Kyushu Stage 3,130.07,1.37,66.3,6.85,107,,,,48.1,,15.7,,14.3,,,,-710,92,834,2170,2880
2023 Tour de la Mirabelle Stage 1,160.111,0.474,111,0.575,159,,0.503,,47.8,,0.334,,0.334,,,,-20,176,394,1120,1140
2023 Tour de la Mirabelle Stage 2,159.433,,139,,159,,0.133,,20.3,,,,,,,,70,438,989,3140,3070
2023 Tour de la Mirabelle Stage 3,178.604,0.904,155,0.904,177,,1.9,,20.8,,,,,,,,-10,209,356,1650,1660
2023 Tour de lAbitibi Stage 1,116.59,10.2,91.8,10.2,106,,8.86,,5.73,,,,,,,,-10,297,368,310,320
2023 Tour de lAbitibi Stage 2,125.66,0.86,23.7,0.832,125,,44.5,,56.6,,,,,,,,20,281,357,450,430
2023 Tour de lAbitibi Stage 3-1,6.099,0.545,4.67,0.545,5.55,,0.884,,,,,,,,,,,308,329,10,10
2023 Tour de lAbitibi Stage 3-2,57.477,1.08,0.287,3.96,53.5,,9.51,,46.6,,,,,,,,,302,345,160,160
2023 Tour de lAbitibi Stage 4,115.8,,57.9,,116,,13.1,0.116,44.8,,,,,,,,10,289,375,340,330
2023 Tour de lAbitibi Stage 5,115.7,,57.8,,116,,13.1,0.116,44.8,,,,,,,,,289,374,340,340
2023 Tour de lAbitibi Stage 6,120.19,10.9,7.39,10.9,109,,54.7,,47.2,,,,,,,,30,279,338,290,260
2023 Tour de lAin Stage 1,153.966,0.469,152,2.96,151,,,,1.29,,0.261,,0.207,,,,,180,308,850,850
2023 Tour de lAin Stage 2,123.595,0.342,123,0.342,123,,,,,,0.253,,0.253,,,,,197,1005,2140,2140
2023 Tour de lAin Stage 3,136.156,0.135,113,3.66,132,,0.321,,22.7,,,,,,,,340,276,1128,3220,2880
2023 Tour de lAvenir Femmes Stage 1,14.85,1.05,13.8,1.78,13,,,,,,,,,,,,10,294,378,200,190
2023 Tour de lAvenir Femmes Stage 2,92.478,,88.6,0.992,91.2,,0.824,,2.79,,0.264,,0.264,,,,-110,173,439,790,900
2023 Tour de lAvenir Femmes Stage 3,97.177,0.515,96,5.06,91.9,,0.455,,,,0.261,,0.207,,,,170,188,545,990,820
2023 Tour de lAvenir Femmes Stage 4,79.605,0.775,64.5,1.55,78,,5.12,,9.21,,,,,,,,820,273,1233,2110,1290
2023 Tour de lAvenir Femmes Stage 5,98,,76.2,,98.1,,,,21.8,,,,,,,,170,767,1973,2980,2810
2023 Tour de lAvenir Stage 1,142.31,4.43,135,0.421,142,,1.79,,1.09,,0.14,,,,,,10,2,156,1230,1220
2023 Tour de lAvenir Stage 2,194.406,3.67,175,6.41,187,0.192,4.01,0.192,10.7,,0.834,,0.834,,,,-10,12,106,1100,1110
2023 Tour de lAvenir Stage 3,26.48,1.38,25.1,2.45,24.1,,,,,,,,,,,,10,125,210,120,110
2023 Tour de lAvenir Stage 4,135.222,0.832,125,15.8,119,,,,9.39,,,,,,,,50,246,651,1570,1520
2023 Tour de lAvenir Stage 5,138.555,0.651,134,7.32,131,,1.5,,2.24,,0.164,,0.164,,,,160,168,575,1190,1030
2023 Tour de lAvenir Stage 6,65.32,2.49,53.5,1.45,63.2,,,,8.6,,0.73,,0.523,,0.207,,860,577,2299,2530,1670
2023 Tour de lAvenir Stage 7-1,11.028,0.528,10.5,0.115,10.8,,,,,,,0.101,,,,,870,696,1590,890,20
2023 Tour de lAvenir Stage 7-2,69.696,0.335,22.3,,69.3,,11,,35.7,,0.361,,0.361,,,,1510,551,2093,2210,700
2023 Tour de lAvenir Stage 8,100.153,,69.6,2.22,97.6,,,,30.2,,0.425,,0.353,,,,190,840,2755,3010,2820
2023 Tour de Normandie Feminin Stage 1,140.27,4.28,111,19.6,121,,4.49,,20.5,,,,,,,,50,154,302,1220,1170
2023 Tour de Normandie Feminin Stage 2,103.799,1.68,76.7,4.75,99.1,,0.819,,24.6,,,,,,,,20,2,91,930,910
2023 Tour de Normandie Feminin Stage 3,113.733,3.1,91.6,0.838,113,,3.89,,14.8,,,,,,0.343,,-30,3,130,740,770
2023 Tour de Pologne Stage 1,181.04,2.2,170,1.42,174,,4.18,,,0.42,5.28,,4.66,,,,,51,144,660,660
2023 Tour de Pologne Stage 2,202.85,5.16,190,2.29,199,1.15,,,6.54,0.847,0.61,,,,,,730,81,813,2220,1490
2023 Tour de Pologne Stage 3,162.319,1.61,147,15.6,143,0.625,,,12.8,3.67,0.284,,0.284,,,,220,299,919,3130,2910
2023 Tour de Pologne Stage 4,199.266,1.86,187,2.85,191,0.383,1.2,,8.44,4.72,0.845,,0.383,,,,,155,287,870,870
2023 Tour de Pologne Stage 5,198.808,2.53,190,,198,0.238,,,6.04,0.601,0.248,,,,,,170,255,926,2950,2780
2023 Tour de Pologne Stage 6,16.63,1.72,12.7,0.113,15.9,,1.08,,1.13,0.53,,,,,,,,256,313,110,110
2023 Tour de Pologne Stage 7,165.718,8.68,129,5.72,160,0.118,7.52,,20.4,,0.244,,,,,,-20,202,347,990,1010
2023 Tour de Romandie Feminin Stage 1,144.2,,125,3.35,141,,4.3,,14.9,,,,,,,,-70,431,694,1830,1900
2023 Tour de Romandie Feminin Stage 2,110.62,,64.5,0.227,110,,2.32,,43.8,,,,,,,,460,382,1446,2320,1860
2023 Tour de Romandie Feminin Stage 3,131.61,2.1,90.8,9.2,122,,32.4,,6.31,,,,,,,,,375,739,1600,1600
2023 Tour de Romandie Prologue,6.8,4.65,2.15,2.42,3.57,,,,,,0.814,,,,,,,373,380,,
2023 Tour de Romandie Stage 1,169.643,1.45,129,2.45,166,0.146,17.8,,20.7,,0.626,,0.547,,,,460,435,1203,2590,2130
2023 Tour de Romandie Stage 2,163.071,2.57,93.4,2.92,160,0.101,17.7,,49.3,,,,,,,,70,614,1278,2770,2700
2023 Tour de Romandie Stage 3,18.76,2.88,12.4,,15.9,,,,3.48,,2.84,,,,,,-10,812,1138,360,370
2023 Tour de Romandie Stage 4,161.75,4.91,139,5.59,156,0.44,15,,2.4,,0.169,,,,,,1600,465,2090,4440,2840
2023 Tour de Romandie Stage 5,169.274,3.71,134,8.57,161,,20.5,,10.9,,0.172,,0.164,,,,-90,372,1177,2290,2380
2023 Tour de Suisse Stage 1,12.529,0.689,10.8,,12.1,,1.04,,,0.37,,,,,,,,883,926,90,90
2023 Tour de Suisse Stage 2,174.478,1.13,105,18,156,0.748,32.7,,34.9,,0.786,,,,,,-130,450,779,1810,1940
2023 Tour de Suisse Stage 3,143.54,,108,0.555,143,,1.54,,34,,,,,,,,590,393,1446,2750,2160
2023 Tour de Suisse Stage 4,152.764,1.94,100,0.35,151,0.366,22.4,0.366,27.7,,1.13,,0.358,,,,980,380,1510,3080,2100
2023 Tour de Suisse Stage 5,210.584,0.324,72.3,,209,,4.31,,132,,1.65,,1.65,,,,590,627,2433,4980,4390
2023 Tour de Suisse Stage 7,180.836,2.99,130,22.5,157,2.29,28,,17,,1.09,,0.556,,,,20,396,971,2510,2490
2023 Tour de Suisse Stage 8,25.839,2.45,18.8,0.181,25.7,,4.08,,0.509,,,,,,,,-30,549,822,370,400
2023 Tour de Suisse Women Stage 1,57.076,5.17,49.9,20.1,36.8,0.296,1.12,,0.38,,0.21,,0.21,,,,,420,573,650,650
2023 Tour de Suisse Women Stage 2,25.879,2.45,18.8,0.181,25.7,,4.12,,0.509,,,,,,,,-30,549,824,370,400
2023 Tour de Suisse Women Stage 3,119.117,0.117,77.9,8.58,111,,15.6,,25.5,,,,,,,,70,466,842,1770,1700
2023 Tour de Suisse Women Stage 4,100.293,3.18,83,1.72,98.5,0.723,11.5,,1.89,,,,,,,,-40,601,1107,1810,1850
2023 Tour de Suisse,91.63,5.51,8.72,5.23,47.4,,,0.392,38.4,,39,,39,0.368,,,-20,1,702,3310,3330
2023 Tour de Taiwan Stage 1,85.173,0.91,53,0.91,54.9,5.85,0.843,,1.77,,29.4,,22.8,,,,,2,14,390,390
2023 Tour de Taiwan Stage 2,123.714,0.749,30.5,12.6,110,0.155,4.59,,87.3,,1.12,,0.42,,,,320,2,450,1110,790
2023 Tour de Taiwan Stage 3,158.55,2.21,74.4,1.99,156,,6.44,,75.5,0.224,,,,,,,260,36,770,2390,2130
2023 Tour de Taiwan Stage 4,168.412,,43.3,2.07,165,,15.5,,109,,0.612,,0.612,,,,660,77,859,2460,1800
2023 Tour de Taiwan Stage 5,149.06,3.46,16.6,4.31,144,,,,129,,,,,,,,-10,11,625,1400,1410
2023 Tour de Vendee,205.816,10.7,176,75.5,129,,5.97,0.147,12.5,,0.7,,0.646,,,,,6,253,1870,1870
2023 Tour des Alpes Maritimes et du Var Stage 1,186.56,2.14,111,1.93,184,,1.32,0.67,72.1,,,,,,,,60,1,362,2160,2100
2023 Tour des Alpes Maritimes et du Var Stage 2,179.142,0.102,70.3,0.54,178,,7.74,,101,,,,,,,,30,2,781,2670,2640
2023 Tour des Alpes Maritimes et du Var Stage 3,131.4,2.57,118,2.88,129,,8.94,,1.89,,,,,,,,240,32,692,2660,2420
2023 Tour dEure-et-Loir Stage 1,162.576,1.94,158,2.19,158,,0.116,,0.85,,1.67,,1.67,,,,10,96,276,810,800
2023 Tour dEure-et-Loir Stage 2,190.16,,181,5.36,185,,,,9.16,,,,,,,,150,111,281,1800,1650
2023 Tour dEure-et-Loir Stage 3,173.322,1.83,159,5.51,168,,0.392,,12.1,,,,,,,,30,85,183,910,880
2023 Tour du Benin Stage 1,136.51,,2.51,70.7,65,,,0.248,134,,,,,,,,70,248,436,770,700
2023 Tour du Benin Stage 2,156.405,,1.13,15.6,139,,,0.158,155,,0.275,1.57,0.275,,,,-200,174,392,890,1090
2023 Tour du Benin Stage 3,141.209,,38.5,11.8,92.8,,,35.4,102,,0.709,,0.709,,,,-200,1,229,730,930
2023 Tour du Benin Stage 4,109.95,,4.95,0.828,109,,,,105,,,,,,,,-100,8,146,360,460
2023 Tour du Benin Stage 5,125.06,3.86,36.2,0.35,125,,,0.208,85,,,,,,,,-70,3,160,330,400
2023 Tour du Benin Stage 6,106.59,3.49,88.7,0.626,3.16,,,90,1.6,,12.8,,12.8,,,,,,8,160,160
2023 Tour du Bocage et de l'Ernee 53 Stage 1,127.773,2.37,125,29.4,98.3,,,,0.403,,,,,,,,30,87,234,1310,1280
2023 Tour du Bocage et de l'Ernee 53 Stage 2-1,19.828,0.628,19.2,4.11,15.7,,,,,,,,,,,,-10,112,220,220,230
2023 Tour du Bocage et de l'Ernee 53 Stage 2-2,105.208,3.04,102,24.5,81,,,,,,0.168,,0.168,,,,20,104,242,1010,990
2023 Tour du Cameroun Stage 1,103.89,,6.29,23.5,80.3,,,,97.6,,,,,,,,-70,181,342,460,530
2023 Tour du Cameroun Stage 2,103.4,,59.6,,103,,,,43.8,,,,,,,,10,187,236,620,610
2023 Tour du Cameroun Stage 3,108.692,,0.692,34.6,74.4,,,,108,,,,,,,,-60,4,83,510,570
2023 Tour du Cameroun Stage 4,164.429,,,44.8,119,,,,164,,0.429,,0.429,,,,20,,107,990,970
2023 Tour du Cameroun Stage 6,107,,,0.103,107,,,,107,,,,,,,,1020,318,1451,1850,830
2023 Tour du Cameroun Stage 7,122.53,,2.53,8.02,114,,,0.366,120,,,,,,,,-830,463,1332,1000,1830
2023 Tour du Cameroun Stage 8,118.526,,,49.1,69.1,,,,118,,0.526,,0.526,,,,230,384,775,1190,960
2023 Tour du Cameroun,157.167,0.734,74.1,7.9,149,,6.54,,75.4,0.136,0.398,,0.393,,,,190,13,399,1020,830
2023 Tour du Doubs,199.918,1.14,185,0.363,200,0.898,5.12,,7.76,,,,,,,,420,379,1183,2970,2550
2023 Tour du Finistere,193.812,6.76,166,31.9,162,0.372,11.7,,8.98,0.14,,0.189,,,,,10,7,235,2450,2440
2023 Tour du Gevaudan Occitanie femmes Stage 1,76.078,0.178,44.5,10.7,65.3,,,,31.4,,,,,,,,310,685,1181,1440,1130
2023 Tour du Gevaudan Occitanie femmes Stage 2,66.2,,38.6,,66.2,,,,27.6,,,,,,,,10,682,1085,1000,990
2023 Tour du Jura Cycliste,166.167,0.672,144,12.6,151,0.165,,0.165,19.8,,1.75,,1.53,,,,570,214,833,2780,2210
2023 Tour du Limousin- Perigord - Nouvelle Aquitaine Stage 1,166.49,0.49,166,13,153,,,,,,,,,,,,130,234,664,2310,2180
2023 Tour du Limousin- Perigord - Nouvelle Aquitaine Stage 2,186.063,6.7,174,41.8,143,,,,4.82,,0.543,,0.543,,,,-150,89,366,2270,2420
2023 Tour du Limousin- Perigord - Nouvelle Aquitaine Stage 3,196.49,3.09,182,12.7,184,,,,11.4,,,,,,,,130,333,829,2960,2830
2023 Tour du Limousin- Perigord - Nouvelle Aquitaine Stage 4,170.99,12.3,151,22.1,149,,1.47,,6.22,,,,,,,,-70,179,467,2190,2260
2023 Tour du Loir et Cher Stage 1,162.09,6.83,126,44.5,118,,2.36,,26.9,,,,,,,,-10,58,143,1010,1020
2023 Tour du Loir et Cher Stage 2,169.339,1.98,166,30.8,139,,0.702,,0.657,,,,,,,,10,71,155,510,500
2023 Tour du Loir et Cher Stage 3,181.915,9.58,169,27.6,154,,2.68,,0.655,,,,,,,,-20,75,212,1200,1220
2023 Tour du Loir et Cher Stage 4,199.477,0.452,193,7.5,191,0.105,,0.105,5.92,,,,,,,,-20,87,138,600,620
2023 Tour du Loir et Cher Stage 5,97.15,15.4,43.5,4.01,91,3.05,19.3,,14.8,0.887,1.22,,1.1,,,,,65,107,660,660
2023 Tour du Rwanda Stage 1,116.761,,22.5,10.2,106,,,,94,,0.261,,0.261,,,,160,1344,1687,1320,1160
2023 Tour du Rwanda Stage 2,133,,,101,29.6,,,2.2,133,,,,,,,,330,1354,1909,2440,2110
2023 Tour du Rwanda Stage 3,200,,,185,14.4,,,,200,,,,,,,,80,1356,2168,3710,3630
2023 Tour du Rwanda Stage 4,138.122,0.152,1.97,0.969,136,,,1.7,136,,0.152,,,,,,-340,1475,2478,2740,3080
2023 Tour du Rwanda Stage 5,193.09,,4.09,22.2,171,,,0.505,189,,,,,,,,-460,1465,2227,4530,4990
2023 Tour du Rwanda Stage 6,157.325,0.191,8.77,39.9,116,,,0.591,148,,0.555,,0.364,,,,780,1468,2477,3350,2570
2023 Tour du Rwanda Stage 7,117.085,1.62,36.7,45.9,70,0.262,,,78.1,0.409,0.665,,0.403,,,,350,1342,1769,2040,1690
2023 Tour du Rwanda Stage 8,77.34,7.34,23.8,43.9,29.4,,,,46.2,3.97,,,,,,,340,1376,1749,1900,1560
2023 Tour du Sahel Stage 1,110,,,,110,,,,110,,,,,,,,100,19,127,140,40
2023 Tour du Sahel Stage 2,74.92,,37.4,0.138,64.9,,,6.39,34,,3.52,,3.52,,,,130,113,451,450,320
2023 Tour du Sahel Stage 3,102.083,,,,59.3,0.883,,26.1,84.7,,16.5,,16.5,,,,-10,175,416,410,420
2023 Tour du Sahel Stage 4,79.9,,,,79.9,,,,79.9,,,,,,,,10,98,170,90,80
2023 Tour du Sahel Stage 5,96.9,,26.4,,96.8,,,,70.5,,,,,,,,,,3,60,60
2023 Tour of Albania Stage 1,142.273,1.01,0.777,1.1,114,0.186,,0.186,113,,27.7,,27.3,,,,530,2,681,1560,1030
2023 Tour of Albania Stage 2,152.156,1.11,6.56,1.05,123,0.186,,0.186,117,,27.7,,27.3,,,,-30,1,388.8133859,1040,1070
2023 Tour of Albania Stage 3,142.423,2.11,40.6,0.438,118,0.542,0.371,1.24,76,,23.2,,22.8,,,,-110,-4,205,580,690
2023 Tour of Albania Stage 4,181.68,2.96,29.3,23.4,121,0.72,,1.51,113,,35.7,,35.7,,,,250,-4,416,1240,990
2023 Tour of Albania Stage 5,121.888,,0.888,,122,,,,121,,,,,,,,-220,4,415,920,1140
2023 Tour of Austria Stage 1,147.6,3.6,97.1,1.52,145,,28,,18.9,0.901,0.138,,,,,,,410,871,2140,2140
2023 Tour of Austria Stage 2,158.818,1.6,70,0.583,158,0.188,1.03,,86,,,,,,,,-650,570,1223,1520,2170
2023 Tour of Austria Stage 3,148.82,0.59,52.7,0.385,148,,4.33,,91.2,,,,,,,,-360,564,2520,2930,3290
2023 Tour of Austria Stage 4,196.912,2.47,33.8,2.55,185,2.47,5.74,0.925,145,0.275,7.71,0.463,7.08,,0.352,,-380,288,975,2070,2450
2023 Tour of Austria Stage 5,156.07,0.233,124,0.227,155,,0.137,,31.7,0.317,,,,,,,470,209,748,2860,2390
2023 Tour of Binzhou Stage 1,117.36,2.12,6.43,5.66,11.8,,,,8.91,,99.9,,99.9,,,,,,,170,170
2023 Tour of Binzhou Stage 2,222.73,,13,0.776,15,,,,2.73,,207,,207,,,,,7,26,540,540
2023 Tour of Britain Stage 1,163.69,3.76,73.5,9.6,154,,7.63,,78.8,,,,,,,,,27,343,1950,1950
2023 Tour of Britain Stage 2,108.803,,74.3,5.04,104,0.143,3.66,,30.7,,,,,,,,,5,177,720,720
2023 Tour of Britain Stage 3,154.06,3.53,92.6,14.6,140,,1.03,,56.9,,,,,,,,30,1,161,710,680
2023 Tour of Britain Stage 4,166.605,1.92,123,12.3,154,,1.11,,40.2,,0.375,,0.375,,,,-30,4,94,920,950
2023 Tour of Britain Stage 5,192.29,,145,11.6,181,,4.29,,43,,,,,,,,-20,,85,960,980
2023 Tour of Britain Stage 6,146.854,0.556,138,21,125,,0.118,,7.86,,0.32,,0.32,,,,40,2,107,790,750
2023 Tour of Britain Stage 7,170.691,,106,8.55,162,0.271,6.02,,58.4,,0.271,,,,,,,12,297,1790,1790
2023 Tour of Britain Stage 8,167.816,2.56,79,11.7,155,0.684,0.322,,83.9,,1.38,0.464,1.35,0.506,,,80,6,500,2460,2380
2023 Tour of Bulgaria Prologue,0.727,0.727,,,,,,,,0.424,0.303,,,,,,,550,554,,
2023 Tour of Bulgaria Stage 1-1,70.13,,2.73,,70.1,,,,67.4,,,,,,,,150,525,941,760,610
2023 Tour of Bulgaria Stage 1-2,88.715,0.183,48.6,0.289,88.2,0.332,,,39.6,,0.155,,,,,,-310,398,1519,1720,2030
2023 Tour of Bulgaria Stage 2,108.071,,56.5,20.7,86.9,,,,51,,0.627,,0.571,,,,-60,204,1191,1500,1560
2023 Tour of Bulgaria Stage 3,180.512,0.171,2.97,0.92,178,0.281,,,176,,1.18,,1.09,,,,-350,2,364,670,1020
2023 Tour of Bulgaria Stage 4,113.15,,6.12,5.4,106,0.562,,0.562,106,,0.563,,0.468,,,,230,20,268,670,440
2023 Tour of Bulgaria Stage 5,128.6,,58.5,60.5,68.1,,,,70.1,,,,,,,,-70,84,829,1660,1730
2023 Tour of Chongming Island Stage 1,109.492,0.529,7.94,1.64,12.9,,5.53,,0.593,,94.9,,94.9,,,,,1,6,140,140
2023 Tour of Chongming Island Stage 2,130.54,7.75,20.5,15.5,26.3,,5.09,,9,,88.8,,88.2,,,,,-11,7,150,150
2023 Tour of Chongming Island Stage 3,115.92,1.35,13.5,0.54,18,,,,4.57,,97.3,,96.5,,,,,1,7,190,190
2023 Tour of Estonia Stage 1,192.532,4.02,186,2.36,188,,,0.942,2.26,0.255,0.531,,0.252,,,,30,36,114,740,710
2023 Tour of Estonia Stage 2,164.41,79.1,74.2,19.9,124,3.78,0.21,,,11.4,9.5,,7.12,,,,,35,69,1020,1020
2023 Tour of Hainan Stage 1,94.34,2.24,1.8,14.5,3.24,,12.3,,1.4,,76.6,,76.6,,,,,-3,41,490,490
2023 Tour of Hainan Stage 2,214.014,1.88,6.96,6.1,4.74,0.184,,0.248,1.99,,203,,203,,,,300,-2,278,2410,2110
2023 Tour of Hainan Stage 3,124.317,0.387,3.44,0.91,3.41,,,,0.49,,120,,120,,,,270,42,795,5040,4770
2023 Tour of Hainan Stage 4,151.366,0.986,2.34,1.21,5.16,,,,3.04,,145,,145,,,,-220,62,785,4740,4960
2023 Tour of Hainan Stage 5,204.48,1.09,1.46,0.597,5.2,,,,3.93,,199,,198,,,,-110,2,424,3570,3680
2023 Tour of Huangshan Stage 1,119.483,0.394,2.14,0.631,2.83,0.169,2.46,2.46,1.32,,113,,113,,,,80,112,488,5990,5910
2023 Tour of Huangshan Stage 2,101.38,0.278,0.192,0.278,1.2,,,,1.01,,99.9,,99.9,,,,10,109,672.7914385,5900,5890
2023 Tour of Huangshan Stage 3,144.493,0.443,4.05,2.07,1.98,,,,,,141,,140,,,,,110,126,4410,4410
